track_name,artist,listeners,url,duration,playcount,album,tags
back to friends,Sombr,731428,https://www.last.fm/music/Sombr/_/back+to+friends,0,9187544,,"alternative rock, indie rock, gay anthem, gay love, rock and roll over"
Manchild,Sabrina Carpenter,657603,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,213000,6952642,Manchild 7in,"pop, country pop, misandry, country, Love"
illegal,pinkpantheress,600255,https://www.last.fm/music/pinkpantheress/_/illegal,0,4972367,,"2-step, dance-pop, rnb, UK Garage, alt-pop"
See You Again (feat. Kali Uchis),"Tyler, the Creator",2166626,"https://www.last.fm/music/Tyler,+the+Creator/_/See+You+Again+(feat.+Kali+Uchis)",0,45949776,,"MySpotigramBot, rap, rnb, Neo-Soul, pop rap"
"Good Luck, Babe!",Chappell Roan,1723391,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",218000,47112482,"Good Luck, Babe!","synthpop, baroque pop, pop rock, new wave, pop"
BIRDS OF A FEATHER,Billie Eilish,1833644,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,210000,44150224,HIT ME HARD AND SOFT,"alt-pop, 2024, peter, pop, indie pop"
SUGAR ON MY TONGUE,"Tyler, the Creator",408909,"https://www.last.fm/music/Tyler,+the+Creator/_/SUGAR+ON+MY+TONGUE",0,1287113,,"electro, dance-pop, pop rap, miami bass, hip house"
No One Noticed,The Marías,1066838,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,236000,19698621,Submarine,"dream pop, Neo-Psychedelia, bedroom pop, Sophisti-Pop, indie"
Sucka Free,"Tyler, the Creator",388230,"https://www.last.fm/music/Tyler,+the+Creator/_/Sucka+Free",0,1132406,,"electro, Neo-Soul, freestyle, pop rap, synth funk"
BIG POE,"Tyler, the Creator",358685,"https://www.last.fm/music/Tyler,+the+Creator/_/BIG+POE",0,769088,,"experimental hip hop, synth funk, hip house, hardcore hip hop, west coast hip hop"
Creep,Radiohead,3427263,https://www.last.fm/music/Radiohead/_/Creep,236000,45095416,Pablo Honey,"alternative, rock, alternative rock, radiohead, indie"
Gabriela,Katseye,377232,https://www.last.fm/music/Katseye/_/Gabriela,0,4460049,,"soty, Awesome, rnb, Favorite, latin pop"
Mommanem,"Tyler, the Creator",377267,"https://www.last.fm/music/Tyler,+the+Creator/_/Mommanem",0,1034476,,"hip hop, hardcore hip hop, west coast hip hop, industrial hip hop, industrial"
Party 4 U,Charli XCX,865838,https://www.last.fm/music/Charli+XCX/_/Party+4+U,0,12572384,,"electropop, bubblegum bass, hyperpop, alternative rnb, pop rap"
Love Me Not,Ravyn Lenae,745558,https://www.last.fm/music/Ravyn+Lenae/_/Love+Me+Not,213000,9285339,Bird's Eye [Explicit],"pop soul, pop rock, rock, soul, american"
Stop Playing With Me,"Tyler, the Creator",366398,"https://www.last.fm/music/Tyler,+the+Creator/_/Stop+Playing+With+Me",0,993207,,"hip hop, electro, experimental hip hop, miami bass, hardcore hip hop"
Ring Ring Ring,"Tyler, the Creator",363780,"https://www.last.fm/music/Tyler,+the+Creator/_/Ring+Ring+Ring",0,1146714,,"synthpop, rnb, freestyle, pop rap, minneapolis sound"
Let Down,Radiohead,1907179,https://www.last.fm/music/Radiohead/_/Let+Down,337000,25360299,OK Computer,"alternative, alternative rock, rock, radiohead, beautiful"
undressed,Sombr,624457,https://www.last.fm/music/Sombr/_/undressed,0,6406615,,"indie rock, sad, american, good left undone, playlista rmf fm"
espresso,Sabrina Carpenter,1814965,https://www.last.fm/music/Sabrina+Carpenter/_/espresso,0,45460768,,"pop, dance-pop, boogie, nu-disco, Disco"
505,Arctic Monkeys,2518434,https://www.last.fm/music/Arctic+Monkeys/_/505,305000,45649320,Favourite Worst Nightmare,"indie rock, indie, british, rock, alternative"
Dreams - 2004 Remaster,Fleetwood Mac,1568632,https://www.last.fm/music/Fleetwood+Mac/_/Dreams+-+2004+Remaster,257000,20593059,Rumours [ORIGINAL RECORDING REMASTERED],"rock, classic rock, mistagged, Iconic, pop"
GNARLY,Katseye,498107,https://www.last.fm/music/Katseye/_/GNARLY,0,9243773,,"hyperpop, hybrid trap, Deconstructed Club, industrial, Trap Metal"
Fame Is A Gun,Addison Rae,464800,https://www.last.fm/music/Addison+Rae/_/Fame+Is+A+Gun,0,5860249,,"electropop, Electroclash, synthpop, pop, electronic"
Don't Tap That Glass / Tweakin',"Tyler, the Creator",340683,"https://www.last.fm/music/Tyler,+the+Creator/_/Don%27t+Tap+That+Glass+%2F+Tweakin%27",0,912147,,"Crunk, Dirty South, hyphy, hardcore hip hop, west coast hip hop"
luther (with SZA),Kendrick Lamar,1218481,https://www.last.fm/music/Kendrick+Lamar/_/luther+(with+SZA),0,19936560,GNX (Spotify),"pop rap, Trap Soul, rnb, trap, Regalia"
Duvet,bôa,1579906,https://www.last.fm/music/b%C3%B4a/_/Duvet,181000,31925432,Twilight,"anime, serial experiments lain, Soundtrack, female vocalists, alternative rock"
Von Dutch,Charli XCX,1152568,https://www.last.fm/music/Charli+XCX/_/Von+Dutch,0,23486628,,"electropop, electro house, pop, Electroclash, dance-pop"
Iris,The Goo Goo Dolls,1444636,https://www.last.fm/music/The+Goo+Goo+Dolls/_/Iris,287000,10471327,Dizzy Up the Girl,"rock, alternative rock, 90s, alternative, Love"
Golden,HUNTR/X,315131,https://www.last.fm/music/HUNTR%2FX/_/Golden,0,3641647,KPop Demon Hunters (Soundtrack from the Netflix Film),"Soundtrack, ost, Korean, k-pop, Kpop"
No Surprises,Radiohead,2835022,https://www.last.fm/music/Radiohead/_/No+Surprises,229000,42627555,OK Computer,"alternative, alternative rock, radiohead, rock, indie"
Hammer,Lorde,328637,https://www.last.fm/music/Lorde/_/Hammer,193000,2496161,Hammer,"baltimore club, electropop, alt-pop, electronic, indietronica"
Pink + White,Frank Ocean,2100328,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White,290000,49621792,Blonde,"rnb, MySpotigramBot, Neo-Soul, soul, beyonce"
What Was That,Lorde,523842,https://www.last.fm/music/Lorde/_/What+Was+That,209000,7587410,What Was That,"pop, electropop, future garage, alt-pop, electronic"
guess featuring billie eilish,Charli XCX,1305049,https://www.last.fm/music/Charli+XCX/_/guess+featuring+billie+eilish,0,22920710,,"electro house, tech house, House, peter, Electroclash"
The Less I Know the Better,Tame Impala,2259126,https://www.last.fm/music/Tame+Impala/_/The+Less+I+Know+the+Better,216000,37681860,Currents,"psychedelic, indie, psychedelic pop, Neo-Psychedelia, Disco"
Shapeshifter,Lorde,294233,https://www.last.fm/music/Lorde/_/Shapeshifter,257000,2051645,Virgin [Explicit],"breakbeat, indietronica, folktronica, future garage, electronic"
"All The Stars (with SZA) - From ""Black Panther: The Album""",Kendrick Lamar,363767,https://www.last.fm/music/Kendrick+Lamar/_/All+The+Stars+(with+SZA)+-+From+%22Black+Panther:+The+Album%22,0,1143395,,"kendrick lamar, sza, spotify top 100 vol 1"
Are We Still Friends?,"Tyler, the Creator",1510354,"https://www.last.fm/music/Tyler,+the+Creator/_/Are+We+Still+Friends%3F",0,25076096,,"MySpotigramBot, Neo-Soul, Psychedelic Soul, Neo-Psychedelia, soul"
